Results from EW9505 MVmv9520
_____________________________________
Pen name           Heat Flow    Scatter
_____________________________________
  mv9520a           1.4666      9.9920      1.5685
  mv9520b           3.4582     11.8880      3.6930
  mv9520c           9.4573      5.3860     10.0240
  mv9520d           7.6480     18.2020      8.2198
  mv9520e           2.0488     13.7060      2.2084
  mv9520f           1.4129     13.2120      1.5210
  mv9520g           1.0589      9.2160      1.1228
  mv9520h           0.7158     13.7960      0.7996
  mv9520i           0.8695     18.2490      0.9438
  mv9520j           0.9679     11.5290      1.0517
  mv9520k           1.2576      9.4030      1.3399
  mv9520l           2.2609     16.1890      2.4187
  mv9520m           3.6302     13.8480      3.8473
  mv9520n           4.9724     57.0660      5.3866
  mv9520o           1.7092     10.5540      1.8372
  mv9520p           1.1711      9.1530      1.2566
  mv9520q           0.8976      9.3750      0.9572
  mv9520r           0.7501      6.0700      0.8035
  mv9520s           0.7956     11.6640      0.8512
  mv9520t           0.8463      3.8560      0.9116
  mv9520u           0.9119     15.9050      0.9689
  mv9520v           1.1533      7.6750      1.2382
  mv9520w           1.3842     13.2250      1.4809
  mv9520x           2.5314     26.6410      2.7215
  mv9520y           2.3896     16.8810      2.5685
  mv9520z           3.3446     22.5020      3.5632
  mv9520a2          1.7191      5.7330      1.8463
  mv9520a3          1.3908      7.5460      1.4793
  mv9520b2          1.3989     15.4690      1.4953
  mv9520b3          4.2319     23.2240      4.4991
  mv9520c2          1.5115      7.6480      1.6297
  mv9520d2          2.0761      7.6490      2.2315
  mv9520e2          5.2468     34.2480      5.6203
  mv9520f2          6.1323     25.4670      6.5793
  mv9520g2          3.4171     45.7580      3.6682
  mv9520h2          2.3229      8.9440      2.4945
  mv9520j2         10.4399     32.1640     11.3786
  mv9520k2         11.6677     17.3690     12.5916
  mv9520m2         13.3849     44.3380     14.3105
  mv9520n2          6.7760     15.0260      7.2476
  mv9520o2          1.8267     14.9950      1.9496
  mv9520p2          1.2976     16.2410      1.3928
  mv9520q2          1.0752     11.6260      1.1434
  mv9520r2          1.3207     13.7740      1.4158
  mv9520s2          3.9770     10.3690      4.2688
  mv9520t2          6.9732     21.7880      7.3469
  mv9520u2          9.5764     21.6020     10.2736
  mv9520v2          8.5925     21.7170      9.2705
  mv9520w2         12.4621     33.7180     13.4804
  mv9520x2          1.3864      5.9960      1.4660
  mv9520y2          1.0892      5.4400      1.1691
  mv9520z2          1.0520      7.8280      1.1256
