

95/06/28    20:55:10.0    02:19:00.0
14b6 2959 000a 000d 01a4 0001 000a 001e 0000
20:55:10.0     1
9c22 9b57 9c74 9b8e 9a64 999c 9810 975e 9699 970b 9658 7908 9f23 8003 48.1    0.000
20:55:20.0     2
9c57 9ba0 9c91 9b9e 9a70 99c9 983a 97af 96cb 975c 96a3 7932 9f38 8003 48.1    0.000
20:55:30.0     3
9cd6 9c16 9cf4 9bf4 9ace 9a38 98b6 9827 9766 97fc 973b 791c 9f4d 8003 48.1    0.000
20:55:40.0     4
9d3a 9c5d 9d43 9c3f 9b20 9aba 9926 98a3 97da 988a 97b2 78af 9f62 8003 48.1    0.000
20:55:50.0     5
9db2 9ccc 9dac 9c91 9b82 9b50 99c4 9967 9894 9962 986b 78a8 9f75 8003 48.1    0.000
20:56:00.0     6
9de5 9ce8 9dd8 9cb8 9bce 9ba8 9a2e 99f1 9915 99de 98ef 7895 9f88 8003 48.1-3374.684
20:56:10.0     7
9dfd 9cf0 9de4 9cd0 9c0b 9c0d 9a94 9a77 9997 9a65 997d 7891 9f9b 8003 48.1   14.095
20:56:20.0     8
9e36 9d12 9e14 9cf1 9c34 9c36 9ad1 9ab5 9a03 9ae7 99f2 786d 9fad 8003 48.1   14.085
20:56:30.0     9
9e8b 9d5b 9e50 9d33 9c6e 9c69 9b04 9aeb 9a33 9b0b 9a1e 7856 9fbf 8003 48.1   14.069
20:56:40.0    10
9ee0 9d80 9e7c 9d5c 9c8e 9c7a 9b20 9af8 9a30 9b18 9a17 7822 9fd0 8003 48.1   14.132
20:56:50.0    11
9eec 9d65 9e42 9d29 9c50 9c3d 9af1 9adf 9a16 9b0f 99fd 77fb 9fe2 8003 48.1   14.165
20:57:00.0    12
9eba 9d14 9ddb 9ce3 9c15 9c37 9afd 9af9 9a1f 9b37 9a13 77d8 9ff2 8003 48.1   14.079
20:57:10.0    13
9ec2 9d06 9db6 9cec 9c40 9c79 9b4d 9b48 9a78 9b6a 9a67 77f2 a002 8003 48.1   14.046
20:57:20.0    14
9e9b 9cdb 9d8c 9ce2 9c58 9ca2 9b8d 9b8a 9ab7 9b90 9a94 77fe a012 8003 48.1   14.103
20:57:30.0    15
9e65 9c78 9d4d 9cca 9c56 9ca0 9bbd 9bb1 9af4 9bd4 9adf 7839 a021 8003 48.1   13.935
20:57:40.0    16
9e04 9c0f 9cf3 9c93 9c31 9c76 9bb3 9ba8 9ae5 9ba6 9acf 7876 a030 8003 48.1   14.015
20:57:50.0    17
9dc8 9bd8 9cc7 9c6c 9bf1 9c3b 9b90 9b94 9aad 9b6e 9a8e 7859 a03f 8003 48.1   14.009
20:58:00.0    18
9dc7 9bd8 9cd3 9c70 9c00 9c4d 9b98 9bae 9aaa 9b25 9a5c 789a a04e 8003 48.1   13.971
20:58:10.0    19
