Results from EW9505 MVmv9528
_____________________________________
Pen name           Heat Flow    Scatter
_____________________________________
  mv9528a           2.5059     20.8540      2.6809
  mv9528b           9.9343     13.9930     10.5640
  mv9528c           3.7751      4.1500      3.9889
  mv9528d           1.9520      8.7350      2.0845
  mv9528e           2.2457      6.7200      2.3871
  mv9528f           4.6259     20.6010      4.8976
  mv9528g          10.0560      4.3520     10.6340
  mv9528h           2.5409     17.8990      2.7194
  mv9528i           1.7412      8.2320      1.8629
  mv9528j           1.3160      2.1750      1.4103
  mv9528k           1.2071      6.3770      1.2736
  mv9528l           1.6051      6.4630      1.6879
  mv9528m           3.5838     11.2710      3.7885
  mv9528n           9.6976     73.2550     10.3977
  mv9528p           9.0946     12.9340      9.5892
  mv9528q           7.8317     13.0290      8.3697
  mv9528r           2.0863      7.0770      2.2350
  mv9528s           1.4177     17.3300      1.5244
  mv9528t           1.3103     18.3130      1.4057
  mv9528u           1.1661      5.2860      1.2575
  mv9528v           2.4844     20.8950      2.6443
  mv9528w           1.6972     15.4840      1.8161
  mv9528x           3.1049     25.2300      3.2749
  mv9528y           2.0713     12.8770      2.2200
  mv9528z           7.0643     16.1330      7.5744
  mv9528a2          2.6974     15.2300      2.8577
  mv9528b2          1.2602     13.4300      1.3487
  mv9528b3          1.2602     13.4300      1.3487
  mv9528c2          0.9941      9.8530      1.0691
  mv9528d2          1.0669      1.4810      1.1334
  mv9528e2          1.3628      2.7770      1.4664
  mv9528f2          7.6475     17.0190      8.1470
