

95/06/13    19:31:10.0    18:46:10.0
14b6 20b4 000a 000d 01a4 0001 000a 001e 0014
19:31:10.0     1
726e 7246 749d 76c8 78a4 7996 7aed 7c69 7d42 7cbb 7d63 644d 7671 8003 48.1   13.702
19:31:20.0     2
727f 7262 74b8 76e0 78c0 79ac 7b05 7c82 7d71 7cbb 7d7a 6471 76c6 8003 48.1   13.631
19:31:30.0     3
727c 726d 74d5 76f9 78e3 79c4 7b0a 7c93 7d8f 7cc9 7d95 6462 7717 8003 48.1   13.641
19:31:40.0     4
729c 7289 74f7 7710 78f0 79b7 7b23 7cac 7da0 7d03 7dbd 6489 7764 8003 48.1   13.597
19:31:50.0     5
72d4 72c5 7535 774a 7929 79f4 7b61 7cdc 7dc5 7d26 7de7 64ab 77ac 8003 48.1   13.604
19:32:00.0     6
7318 730d 757f 7792 797c 7a4a 7ba5 7cfc 7ddb 7d09 7de5 64cb 77f1 8003 48.1   13.512
19:32:10.0     7
7362 734f 75ba 77c8 79bd 7a92 7bfc 7d37 7df7 7d17 7dfd 64cf 7832 8003 48.1   13.588
19:32:20.0     8
73b9 73b1 760f 780e 79f7 7aca 7c40 7d5f 7e03 7ce3 7df0 64ef 786f 8003 48.1   13.487
19:32:30.0     9
741c 742a 767f 786f 7a46 7b25 7c8f 7d92 7e27 7cf1 7e11 651c 78aa 8003 48.1   13.515
19:32:40.0    10
747b 74a3 76fc 78ce 7a9a 7b61 7cd0 7dc5 7e63 7d38 7e5f 6532 78e2 8003 48.1   13.448
19:32:50.0    11
74c0 74f8 7747 790d 7acc 7b9f 7d0d 7e0e 7eb0 7d6e 7ea6 651c 7918 8003 48.1   13.424
19:33:00.0    12
74f8 752f 7770 793e 7af2 7bd8 7d5a 7e59 7ef4 7db3 7ee9 64e1 794b 8003 48.1   13.470
19:33:10.0    13
755c 7594 77b6 7998 7b3f 7c2a 7da2 7ea7 7f31 7dfa 7f25 64cd 797b 8003 48.1   13.444
19:33:20.0    14
7591 75e4 77f2 79ce 7b90 7c71 7dc3 7ebf 7f58 7dcd 7f2e 64bd 79aa 8003 48.1   13.444
19:33:30.0    15
