Results from EW9505 MVmv9557
_____________________________________
Pen name           Heat Flow    Scatter
_____________________________________
  mv9557a           1.1407     20.4360      1.2009
  mv9557b           1.4711     23.4720      1.5442
  mv9557c           2.1752     25.0240      2.2931
  mv9557d           2.2095     30.8950      2.3186
  mv9557e           3.1193     44.4800      3.2678
  mv9557f           3.2479     34.5860      3.3900
  mv9557g           5.0025     63.9480      5.2304
  mv9557h           6.3382     68.5820      6.6867
  mv9557i           7.6720     45.3420      8.0718
